cve_id,description,cvss_score,severity_label
CVE-2023-1052,A minor issue related to complex setup was discovered.,2.6,Low
CVE-2023-1053,The application suffers from spoofing which may lead to sensitive data leaks.,5.4,Medium
CVE-2023-1054,The application suffers from spoofing which may lead to sensitive data leaks.,6.4,Medium
CVE-2023-1055,The application suffers from directory traversal which may lead to sensitive data leaks.,5.7,Medium
CVE-2023-1056,The application suffers from csrf which may lead to sensitive data leaks.,4.1,Medium
CVE-2023-1057,The application suffers from directory traversal which may lead to sensitive data leaks.,6.7,Medium
CVE-2023-1058,An attacker can exploit a buffer overflow vulnerability to compromise the system.,7.9,High
CVE-2023-1059,A minor issue related to minor ui bug was discovered.,2.1,Low
CVE-2023-1060,A minor issue related to local access was discovered.,3.3,Low
CVE-2023-1061,An attacker can exploit a buffer overflow vulnerability to compromise the system.,7.3,High
CVE-2023-1062,An attacker can exploit a xss vulnerability to compromise the system.,8.1,High
CVE-2023-1063,The application suffers from directory traversal which may lead to sensitive data leaks.,5.6,Medium
CVE-2023-1064,The application suffers from csrf which may lead to sensitive data leaks.,5.9,Medium
CVE-2023-1065,An attacker can exploit a buffer overflow vulnerability to compromise the system.,7.2,High
CVE-2023-1066,The application suffers from csrf which may lead to sensitive data leaks.,6.4,Medium
CVE-2023-1067,"An attacker can exploit a buffer overflow vulnerability to compromise the system. However, it requires physical access and user interaction.",7.8,Low
CVE-2023-1068,A minor issue related to complex setup was discovered.,1.2,Low
CVE-2023-1069,The application suffers from bypass which may lead to sensitive data leaks.,5.0,Medium
CVE-2023-1070,A vulnerability allows root privilege via crafted payload.,9.3,Critical
CVE-2023-1071,A vulnerability allows sql injection via crafted payload.,9.4,Critical
CVE-2023-1072,The application suffers from directory traversal which may lead to sensitive data leaks.,6.3,Medium
CVE-2023-1073,The application suffers from spoofing which may lead to sensitive data leaks.,6.8,Medium
CVE-2023-1074,The application suffers from csrf which may lead to sensitive data leaks.,4.6,Medium
CVE-2023-1075,A vulnerability allows rce via crafted payload.,9.1,Critical
CVE-2023-1076,The application suffers from spoofing which may lead to sensitive data leaks.,6.5,Medium
CVE-2023-1077,"The application suffers from bypass which may lead to sensitive data leaks. However, it requires physical access and user interaction.",9.8,Low
CVE-2023-1078,An attacker can exploit a privilege escalation vulnerability to compromise the system.,7.5,High
CVE-2023-1079,The application suffers from directory traversal which may lead to sensitive data leaks.,4.7,Medium
CVE-2023-1080,The application suffers from bypass which may lead to sensitive data leaks.,5.5,Medium
CVE-2023-1081,The application suffers from directory traversal which may lead to sensitive data leaks.,4.3,Medium
CVE-2023-1082,An attacker can exploit a cross-site scripting vulnerability to compromise the system.,7.2,High
CVE-2023-1083,A minor issue related to complex setup was discovered.,1.6,Low
CVE-2023-1084,A vulnerability allows unauthenticated via crafted payload.,9.1,Critical
CVE-2023-1085,The application suffers from bypass which may lead to sensitive data leaks.,6.4,Medium
CVE-2023-1086,An attacker can exploit a denial of service vulnerability to compromise the system.,7.9,High
CVE-2023-1087,A vulnerability allows sql injection via crafted payload.,9.4,Critical
CVE-2023-1088,"An attacker can exploit a cross-site scripting vulnerability to compromise the system. However, it requires physical access and user interaction.",9.5,Low
CVE-2023-1089,An attacker can exploit a denial of service vulnerability to compromise the system.,7.6,High
CVE-2023-1090,The application suffers from information disclosure which may lead to sensitive data leaks.,6.0,Medium
CVE-2023-1091,The application suffers from information disclosure which may lead to sensitive data leaks.,4.9,Medium
CVE-2023-1092,A minor issue related to version exposure was discovered.,2.2,Low
CVE-2023-1093,A minor issue related to version exposure was discovered.,2.9,Low
CVE-2023-1094,An attacker can exploit a denial of service vulnerability to compromise the system.,8.0,High
CVE-2023-1095,An attacker can exploit a dos vulnerability to compromise the system.,8.0,High
CVE-2023-1096,The application suffers from bypass which may lead to sensitive data leaks.,4.1,Medium
CVE-2023-1097,A minor issue related to complex setup was discovered.,3.5,Low
CVE-2023-1098,An attacker can exploit a dos vulnerability to compromise the system.,8.1,High
CVE-2023-1099,A minor issue related to complex setup was discovered.,2.5,Low
CVE-2023-1100,The application suffers from information disclosure which may lead to sensitive data leaks.,4.5,Medium
CVE-2023-1101,The application suffers from directory traversal which may lead to sensitive data leaks.,5.2,Medium
CVE-2023-1102,A vulnerability allows root privilege via crafted payload.,9.8,Critical
CVE-2023-1103,An attacker can exploit a privilege escalation vulnerability to compromise the system.,8.9,High
CVE-2023-1104,An attacker can exploit a dos vulnerability to compromise the system.,8.2,High
CVE-2023-1105,A vulnerability allows remote code execution via crafted payload.,9.3,Critical
CVE-2023-1106,A minor issue related to version exposure was discovered.,1.4,Low
CVE-2023-1107,An attacker can exploit a dos vulnerability to compromise the system.,8.8,High
CVE-2023-1108,An attacker can exploit a dos vulnerability to compromise the system.,8.4,High
CVE-2023-1109,An attacker can exploit a privilege escalation vulnerability to compromise the system.,7.7,High
CVE-2023-1110,A minor issue related to complex setup was discovered.,2.8,Low
CVE-2023-1111,An attacker can exploit a privilege escalation vulnerability to compromise the system.,8.1,High
CVE-2023-1112,The application suffers from information disclosure which may lead to sensitive data leaks.,6.1,Medium
CVE-2023-1113,The application suffers from information disclosure which may lead to sensitive data leaks.,5.1,Medium
CVE-2023-1114,The application suffers from bypass which may lead to sensitive data leaks.,5.0,Medium
CVE-2023-1115,The application suffers from spoofing which may lead to sensitive data leaks.,4.1,Medium
CVE-2023-1116,An attacker can exploit a privilege escalation vulnerability to compromise the system.,8.5,High
CVE-2023-1117,An attacker can exploit a dos vulnerability to compromise the system.,7.6,High
CVE-2023-1118,The application suffers from directory traversal which may lead to sensitive data leaks.,4.5,Medium
CVE-2023-1119,The application suffers from spoofing which may lead to sensitive data leaks.,6.7,Medium
CVE-2023-1120,The application suffers from information disclosure which may lead to sensitive data leaks.,5.4,Medium
CVE-2023-1121,"A vulnerability allows remote code execution via crafted payload. However, it requires physical access and user interaction.",9.1,Low
CVE-2023-1122,A minor issue related to version exposure was discovered.,1.0,Low
CVE-2023-1123,An attacker can exploit a xss vulnerability to compromise the system.,8.0,High
CVE-2023-1124,A vulnerability allows rce via crafted payload.,9.6,Critical
CVE-2023-1125,A vulnerability allows sql injection via crafted payload.,9.7,Critical
CVE-2023-1126,The application suffers from bypass which may lead to sensitive data leaks.,4.6,Medium
CVE-2023-1127,A minor issue related to version exposure was discovered.,1.1,Low
CVE-2023-1128,An attacker can exploit a xss vulnerability to compromise the system.,8.1,High
CVE-2023-1129,An attacker can exploit a privilege escalation vulnerability to compromise the system.,8.7,High
CVE-2023-1130,A vulnerability allows default password via crafted payload.,9.9,Critical
CVE-2023-1131,A vulnerability allows default password via crafted payload.,9.9,Critical
CVE-2023-1132,An attacker can exploit a dos vulnerability to compromise the system.,7.6,High
CVE-2023-1133,An attacker can exploit a privilege escalation vulnerability to compromise the system.,8.2,High
CVE-2023-1134,"An attacker can exploit a xss vulnerability to compromise the system. However, it requires physical access and user interaction.",8.2,Low
CVE-2023-1135,A vulnerability allows unauthenticated via crafted payload.,9.7,Critical
CVE-2023-1136,A vulnerability allows default password via crafted payload.,9.9,Critical
CVE-2023-1137,The application suffers from directory traversal which may lead to sensitive data leaks.,6.3,Medium
CVE-2023-1138,A minor issue related to minor ui bug was discovered.,2.4,Low
CVE-2023-1139,A minor issue related to deprecated algorithm was discovered.,1.8,Low
CVE-2023-1140,The application suffers from directory traversal which may lead to sensitive data leaks.,5.5,Medium
CVE-2023-1141,A minor issue related to local access was discovered.,2.5,Low
CVE-2023-1142,A vulnerability allows rce via crafted payload.,9.2,Critical
CVE-2023-1143,A vulnerability allows rce via crafted payload.,9.7,Critical
CVE-2023-1144,A vulnerability allows unauthenticated via crafted payload.,9.1,Critical
CVE-2023-1145,A minor issue related to version exposure was discovered.,2.6,Low
CVE-2023-1146,A minor issue related to complex setup was discovered.,3.2,Low
CVE-2023-1147,An attacker can exploit a privilege escalation vulnerability to compromise the system.,7.1,High
CVE-2023-1148,An attacker can exploit a cross-site scripting vulnerability to compromise the system.,8.5,High
CVE-2023-1149,A vulnerability allows rce via crafted payload.,9.5,Critical
CVE-2023-1150,A minor issue related to local access was discovered.,1.9,Low
CVE-2023-1151,The application suffers from information disclosure which may lead to sensitive data leaks.,4.9,Medium
CVE-2023-1152,A minor issue related to minor ui bug was discovered.,2.1,Low
CVE-2023-1153,A minor issue related to complex setup was discovered.,2.2,Low
CVE-2023-1154,A minor issue related to complex setup was discovered.,3.2,Low
CVE-2023-1155,The application suffers from directory traversal which may lead to sensitive data leaks.,4.1,Medium
CVE-2023-1156,A minor issue related to version exposure was discovered.,3.7,Low
CVE-2023-1157,A minor issue related to version exposure was discovered.,2.8,Low
CVE-2023-1158,The application suffers from directory traversal which may lead to sensitive data leaks.,6.4,Medium
CVE-2023-1159,A minor issue related to complex setup was discovered.,1.4,Low
CVE-2023-1160,An attacker can exploit a dos vulnerability to compromise the system.,7.4,High
CVE-2023-1161,The application suffers from spoofing which may lead to sensitive data leaks.,4.4,Medium
CVE-2023-1162,An attacker can exploit a dos vulnerability to compromise the system.,7.5,High
CVE-2023-1163,An attacker can exploit a cross-site scripting vulnerability to compromise the system.,7.6,High
CVE-2023-1164,An attacker can exploit a dos vulnerability to compromise the system.,7.3,High
CVE-2023-1165,An attacker can exploit a dos vulnerability to compromise the system.,8.4,High
CVE-2023-1166,A vulnerability allows rce via crafted payload.,10.0,Critical
CVE-2023-1167,A vulnerability allows unauthenticated via crafted payload.,9.6,Critical
CVE-2023-1168,A vulnerability allows remote code execution via crafted payload.,9.2,Critical
CVE-2023-1169,A vulnerability allows remote code execution via crafted payload.,9.1,Critical
CVE-2023-1170,A vulnerability allows root privilege via crafted payload.,9.8,Critical
CVE-2023-1171,A minor issue related to version exposure was discovered.,1.2,Low
CVE-2023-1172,The application suffers from bypass which may lead to sensitive data leaks.,5.5,Medium
CVE-2023-1173,The application suffers from information disclosure which may lead to sensitive data leaks.,5.2,Medium
CVE-2023-1174,The application suffers from spoofing which may lead to sensitive data leaks.,4.9,Medium
CVE-2023-1175,The application suffers from csrf which may lead to sensitive data leaks.,4.4,Medium
CVE-2023-1176,An attacker can exploit a cross-site scripting vulnerability to compromise the system.,7.5,High
CVE-2023-1177,The application suffers from directory traversal which may lead to sensitive data leaks.,6.2,Medium
CVE-2023-1178,A minor issue related to complex setup was discovered.,1.7,Low
CVE-2023-1179,An attacker can exploit a xss vulnerability to compromise the system.,8.6,High
CVE-2023-1180,The application suffers from bypass which may lead to sensitive data leaks.,4.1,Medium
CVE-2023-1181,A minor issue related to local access was discovered.,2.0,Low
CVE-2023-1182,The application suffers from bypass which may lead to sensitive data leaks.,5.9,Medium
CVE-2023-1183,The application suffers from spoofing which may lead to sensitive data leaks.,4.8,Medium
CVE-2023-1184,"The application suffers from directory traversal which may lead to sensitive data leaks. However, it requires physical access and user interaction.",7.8,Low
CVE-2023-1185,The application suffers from csrf which may lead to sensitive data leaks.,6.5,Medium
CVE-2023-1186,A vulnerability allows unauthenticated via crafted payload.,9.4,Critical
CVE-2023-1187,A minor issue related to deprecated algorithm was discovered.,3.2,Low
CVE-2023-1188,A vulnerability allows root privilege via crafted payload.,9.1,Critical
CVE-2023-1189,A minor issue related to version exposure was discovered.,3.5,Low
CVE-2023-1190,"A vulnerability allows root privilege via crafted payload. However, it requires physical access and user interaction.",7.3,Low
CVE-2023-1191,An attacker can exploit a xss vulnerability to compromise the system.,7.1,High
CVE-2023-1192,The application suffers from directory traversal which may lead to sensitive data leaks.,5.5,Medium
CVE-2023-1193,A vulnerability allows sql injection via crafted payload.,9.0,Critical
CVE-2023-1194,The application suffers from bypass which may lead to sensitive data leaks.,4.4,Medium
CVE-2023-1195,An attacker can exploit a buffer overflow vulnerability to compromise the system.,8.4,High
CVE-2023-1196,An attacker can exploit a buffer overflow vulnerability to compromise the system.,7.3,High
CVE-2023-1197,The application suffers from directory traversal which may lead to sensitive data leaks.,5.6,Medium
CVE-2023-1198,The application suffers from bypass which may lead to sensitive data leaks.,4.2,Medium
CVE-2023-1199,A vulnerability allows default password via crafted payload.,9.0,Critical
CVE-2023-1200,A minor issue related to minor ui bug was discovered.,2.5,Low
CVE-2023-1201,An attacker can exploit a privilege escalation vulnerability to compromise the system.,8.3,High
CVE-2023-1202,An attacker can exploit a denial of service vulnerability to compromise the system.,7.9,High
CVE-2023-1203,An attacker can exploit a xss vulnerability to compromise the system.,8.7,High
CVE-2023-1204,"The application suffers from information disclosure which may lead to sensitive data leaks. However, it requires physical access and user interaction.",7.4,Low
CVE-2023-1205,A minor issue related to complex setup was discovered.,1.2,Low
CVE-2023-1206,A minor issue related to minor ui bug was discovered.,2.3,Low
CVE-2023-1207,A minor issue related to local access was discovered.,2.4,Low
CVE-2023-1208,The application suffers from csrf which may lead to sensitive data leaks.,5.8,Medium
CVE-2023-1209,The application suffers from spoofing which may lead to sensitive data leaks.,4.0,Medium
CVE-2023-1210,The application suffers from spoofing which may lead to sensitive data leaks.,5.3,Medium
CVE-2023-1211,The application suffers from spoofing which may lead to sensitive data leaks.,5.6,Medium
CVE-2023-1212,The application suffers from csrf which may lead to sensitive data leaks.,6.1,Medium
CVE-2023-1213,A minor issue related to minor ui bug was discovered.,2.1,Low
CVE-2023-1214,An attacker can exploit a dos vulnerability to compromise the system.,8.6,High
CVE-2023-1215,The application suffers from csrf which may lead to sensitive data leaks.,6.2,Medium
CVE-2023-1216,The application suffers from bypass which may lead to sensitive data leaks.,6.1,Medium
CVE-2023-1217,The application suffers from information disclosure which may lead to sensitive data leaks.,6.0,Medium
CVE-2023-1218,The application suffers from csrf which may lead to sensitive data leaks.,5.9,Medium
CVE-2023-1219,An attacker can exploit a buffer overflow vulnerability to compromise the system.,7.2,High
CVE-2023-1220,The application suffers from spoofing which may lead to sensitive data leaks.,5.7,Medium
CVE-2023-1221,The application suffers from spoofing which may lead to sensitive data leaks.,4.2,Medium
CVE-2023-1222,A minor issue related to local access was discovered.,1.2,Low
CVE-2023-1223,An attacker can exploit a dos vulnerability to compromise the system.,8.5,High
CVE-2023-1224,A minor issue related to local access was discovered.,2.0,Low
CVE-2023-1225,A minor issue related to minor ui bug was discovered.,2.5,Low
CVE-2023-1226,An attacker can exploit a xss vulnerability to compromise the system.,7.7,High
CVE-2023-1227,A minor issue related to minor ui bug was discovered.,1.9,Low
CVE-2023-1228,An attacker can exploit a cross-site scripting vulnerability to compromise the system.,7.6,High
CVE-2023-1229,An attacker can exploit a dos vulnerability to compromise the system.,7.6,High
CVE-2023-1230,The application suffers from information disclosure which may lead to sensitive data leaks.,4.6,Medium
CVE-2023-1231,"A minor issue related to local access was discovered. However, it requires physical access and user interaction.",8.9,Low
CVE-2023-1232,The application suffers from directory traversal which may lead to sensitive data leaks.,5.2,Medium
CVE-2023-1233,A vulnerability allows default password via crafted payload.,9.2,Critical
CVE-2023-1234,The application suffers from information disclosure which may lead to sensitive data leaks.,6.9,Medium
CVE-2023-1235,The application suffers from information disclosure which may lead to sensitive data leaks.,5.9,Medium
CVE-2023-1236,A minor issue related to complex setup was discovered.,2.1,Low
CVE-2023-1237,An attacker can exploit a xss vulnerability to compromise the system.,7.3,High
CVE-2023-1238,The application suffers from spoofing which may lead to sensitive data leaks.,4.9,Medium
CVE-2023-1239,The application suffers from directory traversal which may lead to sensitive data leaks.,4.6,Medium
CVE-2023-1240,An attacker can exploit a dos vulnerability to compromise the system.,7.1,High
CVE-2023-1241,"A vulnerability allows unauthenticated via crafted payload. However, it requires physical access and user interaction.",10.0,Low
CVE-2023-1242,The application suffers from csrf which may lead to sensitive data leaks.,4.8,Medium
CVE-2023-1243,The application suffers from directory traversal which may lead to sensitive data leaks.,6.5,Medium
CVE-2023-1244,"A vulnerability allows rce via crafted payload. However, it requires physical access and user interaction.",7.6,Low
CVE-2023-1245,The application suffers from directory traversal which may lead to sensitive data leaks.,6.8,Medium
CVE-2023-1246,An attacker can exploit a denial of service vulnerability to compromise the system.,7.5,High
CVE-2023-1247,A minor issue related to local access was discovered.,1.4,Low
CVE-2023-1248,A vulnerability allows default password via crafted payload.,9.5,Critical
CVE-2023-1249,The application suffers from bypass which may lead to sensitive data leaks.,6.0,Medium
CVE-2023-1250,A minor issue related to deprecated algorithm was discovered.,2.5,Low
CVE-2023-1251,The application suffers from spoofing which may lead to sensitive data leaks.,6.2,Medium
CVE-2023-1252,A minor issue related to deprecated algorithm was discovered.,3.9,Low
CVE-2023-1253,The application suffers from directory traversal which may lead to sensitive data leaks.,5.2,Medium
CVE-2023-1254,An attacker can exploit a dos vulnerability to compromise the system.,7.3,High
CVE-2023-1255,"An attacker can exploit a xss vulnerability to compromise the system. However, it requires physical access and user interaction.",9.7,Low
CVE-2023-1256,An attacker can exploit a denial of service vulnerability to compromise the system.,7.9,High
CVE-2023-1257,A minor issue related to complex setup was discovered.,1.4,Low
CVE-2023-1258,An attacker can exploit a cross-site scripting vulnerability to compromise the system.,7.8,High
CVE-2023-1259,A vulnerability allows unauthenticated via crafted payload.,10.0,Critical
CVE-2023-1260,The application suffers from information disclosure which may lead to sensitive data leaks.,6.8,Medium
CVE-2023-1261,The application suffers from csrf which may lead to sensitive data leaks.,6.5,Medium
CVE-2023-1262,A minor issue related to deprecated algorithm was discovered.,2.4,Low
CVE-2023-1263,A vulnerability allows unauthenticated via crafted payload.,9.3,Critical
CVE-2023-1264,The application suffers from spoofing which may lead to sensitive data leaks.,4.0,Medium
CVE-2023-1265,The application suffers from information disclosure which may lead to sensitive data leaks.,6.2,Medium
CVE-2023-1266,A vulnerability allows default password via crafted payload.,9.1,Critical
CVE-2023-1267,The application suffers from spoofing which may lead to sensitive data leaks.,4.2,Medium
CVE-2023-1268,An attacker can exploit a dos vulnerability to compromise the system.,7.2,High
CVE-2023-1269,The application suffers from spoofing which may lead to sensitive data leaks.,4.2,Medium
CVE-2023-1270,An attacker can exploit a denial of service vulnerability to compromise the system.,7.9,High
CVE-2023-1271,The application suffers from directory traversal which may lead to sensitive data leaks.,5.9,Medium
CVE-2023-1272,The application suffers from directory traversal which may lead to sensitive data leaks.,4.7,Medium
CVE-2023-1273,A vulnerability allows unauthenticated via crafted payload.,9.8,Critical
CVE-2023-1274,A vulnerability allows default password via crafted payload.,9.0,Critical
CVE-2023-1275,An attacker can exploit a dos vulnerability to compromise the system.,7.6,High
CVE-2023-1276,The application suffers from csrf which may lead to sensitive data leaks.,6.8,Medium
CVE-2023-1277,The application suffers from csrf which may lead to sensitive data leaks.,4.3,Medium
CVE-2023-1278,The application suffers from spoofing which may lead to sensitive data leaks.,4.6,Medium
CVE-2023-1279,The application suffers from information disclosure which may lead to sensitive data leaks.,6.6,Medium
CVE-2023-1280,A vulnerability allows unauthenticated via crafted payload.,9.9,Critical
CVE-2023-1281,An attacker can exploit a denial of service vulnerability to compromise the system.,8.7,High
CVE-2023-1282,The application suffers from information disclosure which may lead to sensitive data leaks.,6.1,Medium
CVE-2023-1283,The application suffers from information disclosure which may lead to sensitive data leaks.,4.8,Medium
CVE-2023-1284,The application suffers from spoofing which may lead to sensitive data leaks.,5.2,Medium
CVE-2023-1285,The application suffers from directory traversal which may lead to sensitive data leaks.,4.8,Medium
CVE-2023-1286,The application suffers from spoofing which may lead to sensitive data leaks.,5.6,Medium
CVE-2023-1287,An attacker can exploit a buffer overflow vulnerability to compromise the system.,8.9,High
CVE-2023-1288,The application suffers from information disclosure which may lead to sensitive data leaks.,4.9,Medium
CVE-2023-1289,An attacker can exploit a xss vulnerability to compromise the system.,7.7,High
CVE-2023-1290,An attacker can exploit a privilege escalation vulnerability to compromise the system.,8.3,High
CVE-2023-1291,An attacker can exploit a xss vulnerability to compromise the system.,7.0,High
CVE-2023-1292,A vulnerability allows default password via crafted payload.,9.1,Critical
CVE-2023-1293,The application suffers from directory traversal which may lead to sensitive data leaks.,6.2,Medium
CVE-2023-1294,A minor issue related to version exposure was discovered.,3.7,Low
CVE-2023-1295,A vulnerability allows sql injection via crafted payload.,9.8,Critical
CVE-2023-1296,An attacker can exploit a cross-site scripting vulnerability to compromise the system.,7.1,High
CVE-2023-1297,The application suffers from directory traversal which may lead to sensitive data leaks.,6.2,Medium
CVE-2023-1298,The application suffers from information disclosure which may lead to sensitive data leaks.,5.4,Medium
CVE-2023-1299,An attacker can exploit a buffer overflow vulnerability to compromise the system.,8.4,High
CVE-2023-1300,A vulnerability allows sql injection via crafted payload.,9.6,Critical
CVE-2023-1301,A vulnerability allows unauthenticated via crafted payload.,9.3,Critical
CVE-2023-1302,"A minor issue related to version exposure was discovered. However, it requires physical access and user interaction.",9.1,Low
CVE-2023-1303,The application suffers from directory traversal which may lead to sensitive data leaks.,5.6,Medium
CVE-2023-1304,A vulnerability allows sql injection via crafted payload.,9.9,Critical
CVE-2023-1305,The application suffers from spoofing which may lead to sensitive data leaks.,5.5,Medium
CVE-2023-1306,A vulnerability allows remote code execution via crafted payload.,9.6,Critical
CVE-2023-1307,The application suffers from directory traversal which may lead to sensitive data leaks.,6.3,Medium
CVE-2023-1308,A vulnerability allows unauthenticated via crafted payload.,9.1,Critical
CVE-2023-1309,A minor issue related to minor ui bug was discovered.,1.8,Low
CVE-2023-1310,A minor issue related to local access was discovered.,3.1,Low
CVE-2023-1311,A minor issue related to local access was discovered.,1.7,Low
CVE-2023-1312,The application suffers from bypass which may lead to sensitive data leaks.,5.7,Medium
CVE-2023-1313,A vulnerability allows root privilege via crafted payload.,9.9,Critical
CVE-2023-1314,The application suffers from spoofing which may lead to sensitive data leaks.,4.9,Medium
CVE-2023-1315,The application suffers from csrf which may lead to sensitive data leaks.,5.5,Medium
CVE-2023-1316,The application suffers from bypass which may lead to sensitive data leaks.,4.0,Medium
CVE-2023-1317,The application suffers from csrf which may lead to sensitive data leaks.,4.5,Medium
CVE-2023-1318,A vulnerability allows sql injection via crafted payload.,10.0,Critical
CVE-2023-1319,"The application suffers from directory traversal which may lead to sensitive data leaks. However, it requires physical access and user interaction.",9.3,Low
CVE-2023-1320,The application suffers from bypass which may lead to sensitive data leaks.,4.8,Medium
CVE-2023-1321,A minor issue related to complex setup was discovered.,3.8,Low
CVE-2023-1322,The application suffers from information disclosure which may lead to sensitive data leaks.,5.1,Medium
CVE-2023-1323,A minor issue related to complex setup was discovered.,2.9,Low
CVE-2023-1324,A minor issue related to minor ui bug was discovered.,2.8,Low
CVE-2023-1325,An attacker can exploit a cross-site scripting vulnerability to compromise the system.,7.9,High
CVE-2023-1326,The application suffers from information disclosure which may lead to sensitive data leaks.,4.1,Medium
CVE-2023-1327,A vulnerability allows root privilege via crafted payload.,9.7,Critical
CVE-2023-1328,An attacker can exploit a cross-site scripting vulnerability to compromise the system.,7.6,High
CVE-2023-1329,The application suffers from spoofing which may lead to sensitive data leaks.,4.6,Medium
CVE-2023-1330,An attacker can exploit a buffer overflow vulnerability to compromise the system.,8.3,High
CVE-2023-1331,An attacker can exploit a privilege escalation vulnerability to compromise the system.,8.7,High
CVE-2023-1332,An attacker can exploit a privilege escalation vulnerability to compromise the system.,7.8,High
CVE-2023-1333,The application suffers from spoofing which may lead to sensitive data leaks.,4.5,Medium
CVE-2023-1334,The application suffers from csrf which may lead to sensitive data leaks.,5.6,Medium
CVE-2023-1335,An attacker can exploit a denial of service vulnerability to compromise the system.,7.8,High
CVE-2023-1336,"The application suffers from information disclosure which may lead to sensitive data leaks. However, it requires physical access and user interaction.",9.0,Low
CVE-2023-1337,A minor issue related to deprecated algorithm was discovered.,2.0,Low
CVE-2023-1338,A minor issue related to complex setup was discovered.,1.7,Low
